Label,Expected,TP,FP,FN,Recall,Precision,F-measure,Training Samples
hypertension.mention.before_dct,365,355,12,10,0.9726027397260274,0.9673024523160763,0.9699453551912569,514
hypertension.mention.during_dct,367,355,12,12,0.9673024523160763,0.9673024523160763,0.9673024523160763,513
hypertension.mention.after_dct,366,355,12,11,0.9699453551912568,0.9673024523160763,0.9686221009549795,511
hypertension.high_bp.before_dct,20,4,2,16,0.2,0.6666666666666666,0.30769230769230765,39
hypertension.high_bp.during_dct,175,134,98,41,0.7657142857142857,0.5775862068965517,0.6584766584766585,320
hypertension.high_bp.after_dct,0,0,0,0,0,0,0,0
medication.ace_inhibitor.before_dct,209,182,24,27,0.8708133971291866,0.883495145631068,0.8771084337349399,320
medication.ace_inhibitor.during_dct,199,181,23,18,0.9095477386934674,0.8872549019607843,0.8982630272952854,312
medication.ace_inhibitor.after_dct,204,183,24,21,0.8970588235294118,0.8840579710144928,0.8905109489051095,316
medication.anti_diabetes.before_dct,0,0,0,0,0,0,0,1
medication.anti_diabetes.during_dct,0,0,0,0,0,0,0,1
medication.anti_diabetes.after_dct,0,0,0,0,0,0,0,1
medication.arb.before_dct,67,51,7,16,0.7611940298507462,0.8793103448275862,0.8160000000000001,96
medication.arb.during_dct,64,51,7,13,0.796875,0.8793103448275862,0.8360655737704917,92
medication.arb.after_dct,62,51,7,11,0.8225806451612904,0.8793103448275862,0.8500000000000001,95
medication.aspirin.before_dct,263,251,22,12,0.9543726235741445,0.9194139194139194,0.9365671641791045,421
medication.aspirin.during_dct,273,252,25,21,0.9230769230769231,0.9097472924187726,0.9163636363636364,428
medication.aspirin.after_dct,262,251,22,11,0.9580152671755725,0.9194139194139194,0.9383177570093457,422
medication.beta_blocker.before_dct,276,261,32,15,0.9456521739130435,0.8907849829351536,0.9173989455184534,462
medication.beta_blocker.during_dct,281,262,36,19,0.9323843416370107,0.8791946308724832,0.9050086355785838,464
medication.beta_blocker.after_dct,278,264,34,14,0.9496402877697842,0.8859060402684564,0.9166666666666667,465
medication.calcium_channel_blocker.before_dct,129,116,17,13,0.8992248062015504,0.8721804511278195,0.8854961832061069,185
medication.calcium_channel_blocker.during_dct,128,115,14,13,0.8984375,0.8914728682170543,0.8949416342412452,177
medication.calcium_channel_blocker.after_dct,128,115,14,13,0.8984375,0.8914728682170543,0.8949416342412452,180
medication.diuretic.before_dct,80,68,23,12,0.85,0.7472527472527473,0.7953216374269005,112
medication.diuretic.during_dct,70,66,20,4,0.9428571428571428,0.7674418604651163,0.8461538461538461,98
medication.diuretic.after_dct,72,66,20,6,0.9166666666666666,0.7674418604651163,0.8354430379746837,104
medication.dpp4_inhibitors.before_dct,2,0,0,2,0.0,0,0,1
medication.dpp4_inhibitors.during_dct,2,0,0,2,0.0,0,0,0
medication.dpp4_inhibitors.after_dct,2,0,0,2,0.0,0,0,0
medication.ezetimibe.before_dct,11,4,0,7,0.36363636363636365,1.0,0.5333333333333333,12
medication.ezetimibe.during_dct,11,4,0,7,0.36363636363636365,1.0,0.5333333333333333,12
medication.ezetimibe.after_dct,14,4,0,10,0.2857142857142857,1.0,0.4444444444444445,12
medication.fibrate.before_dct,31,21,0,10,0.6774193548387096,1.0,0.8076923076923077,22
medication.fibrate.during_dct,29,21,0,8,0.7241379310344828,1.0,0.8400000000000001,20
medication.fibrate.after_dct,30,21,0,9,0.7,1.0,0.8235294117647058,22
medication.insulin.before_dct,132,122,22,10,0.9242424242424242,0.8472222222222222,0.8840579710144927,203
medication.insulin.during_dct,131,122,28,9,0.9312977099236641,0.8133333333333334,0.8683274021352313,215
medication.insulin.after_dct,132,122,22,10,0.9242424242424242,0.8472222222222222,0.8840579710144927,211
medication.metformin.before_dct,125,110,28,15,0.88,0.7971014492753623,0.8365019011406845,185
medication.metformin.during_dct,113,110,28,3,0.9734513274336283,0.7971014492753623,0.8764940239043825,174
medication.metformin.after_dct,118,110,28,8,0.9322033898305084,0.7971014492753623,0.859375,177
medication.niacin.before_dct,9,1,0,8,0.1111111111111111,1.0,0.19999999999999998,7
medication.niacin.during_dct,7,1,0,6,0.14285714285714285,1.0,0.25,6
medication.niacin.after_dct,9,1,0,8,0.1111111111111111,1.0,0.19999999999999998,7
medication.nitrate.before_dct,91,69,21,22,0.7582417582417582,0.7666666666666667,0.7624309392265194,110
medication.nitrate.during_dct,95,75,25,20,0.7894736842105263,0.75,0.7692307692307692,118
medication.nitrate.after_dct,85,67,17,18,0.788235294117647,0.7976190476190477,0.7928994082840236,90
medication.statin.before_dct,274,255,25,19,0.9306569343065694,0.9107142857142857,0.9205776173285198,426
medication.statin.during_dct,266,255,24,11,0.9586466165413534,0.9139784946236559,0.9357798165137614,418
medication.statin.after_dct,277,258,25,19,0.9314079422382672,0.911660777385159,0.9214285714285714,430
medication.sulfonylureas.before_dct,98,91,7,7,0.9285714285714286,0.9285714285714286,0.9285714285714286,156
medication.sulfonylureas.during_dct,94,91,7,3,0.9680851063829787,0.9285714285714286,0.9479166666666666,152
medication.sulfonylureas.after_dct,96,91,7,5,0.9479166666666666,0.9285714285714286,0.9381443298969072,154
medication.thiazolidinedione.before_dct,22,18,6,4,0.8181818181818182,0.75,0.7826086956521738,41
medication.thiazolidinedione.during_dct,19,18,6,1,0.9473684210526315,0.75,0.8372093023255814,39
medication.thiazolidinedione.after_dct,20,18,6,2,0.9,0.75,0.8181818181818182,38
medication.thienopyridine.before_dct,97,85,14,12,0.8762886597938144,0.8585858585858586,0.8673469387755102,94
medication.thienopyridine.during_dct,95,85,14,10,0.8947368421052632,0.8585858585858586,0.8762886597938143,93
medication.thienopyridine.after_dct,92,85,14,7,0.9239130434782609,0.8585858585858586,0.8900523560209425,94
smoker.current,33,17,19,16,0.5151515151515151,0.4722222222222222,0.49275362318840576,57
smoker.ever,3,0,0,3,0.0,0,0,9
smoker.never,120,93,14,27,0.775,0.8691588785046729,0.8193832599118942,183
smoker.past,113,95,26,18,0.8407079646017699,0.7851239669421488,0.811965811965812,148
smoker.unknown,245,186,64,59,0.7591836734693878,0.744,0.7515151515151515,0
family_hist.present,19,0,0,19,0.0,0,0,21
family_hist.not_present,495,495,19,0,1.0,0.9630350194552529,0.9811694747274529,0
